ticker,name,as_of,fiscal_year,sector,roe,roe_3y_avg,opm,debt_ratio,is_financial,is_holding,per,pbr,ev_ebitda,fcf_yield,sector_per_median,sector_pbr_median,net_income_y1,net_income_y2,audit_opinion,verified,source,is_etf,is_spac,is_managed,is_halted,close,market_cap,volume,trading_value,avg_trading_value_20d,high_52w,low_52w,return_6m,volatility_1y,beta_kospi200,dividend_yield,payout_ratio,buyback_3y,verified_sh,source_sh,is_held,sector_group,sector_source,governance_red,gate_pass,gate_fail_reason
005830,DB손해보험,2026-07-17,2025,insurance,12.5,11.8,9.6,0.0,True,False,8.2,0.92,,,10.5,1.05,5200000000000.0,4800000000000.0,unqualified,True,manual,False,False,False,False,163000.0,10676556887000.0,219854,35836202000.0,35414514670.1,205500.0,119300.0,0.3188,43.47,,3.2,35.0,True,True,manual,True,,,False,True,
021240,코웨이,2026-07-17,2025,consumer,18.2,17.5,14.1,45.3,False,False,12.4,1.8,8.2,4.1,18.0,2.2,850000000000.0,780000000000.0,unqualified,True,manual,False,False,False,False,96700.0,6843210094200.0,301055,29112018500.0,20974006413.1,113200.0,70900.0,0.2148,39.32,,2.1,28.0,False,True,manual,True,,,False,True,
005440,현대지에프홀딩스,2026-07-17,2025,holding,8.5,8.0,6.2,35.0,False,True,9.8,0.55,6.5,3.2,12.0,0.75,120000000000.0,95000000000.0,unqualified,True,manual,False,False,False,False,13950.0,2174864998950.0,100448,1401249600.0,4473027209.0,18750.0,7290.0,0.7591,60.04,,2.8,30.0,True,True,manual,True,,,False,True,
192400,쿠쿠홀딩스,2026-07-17,2025,holding,9.2,8.8,7.5,28.0,False,True,11.0,0.62,7.0,2.8,12.0,0.75,95000000000.0,88000000000.0,unqualified,True,manual,False,False,False,False,25550.0,908613826750.0,14819,378625450.0,415007300.0,34750.0,23600.0,-0.0776,30.69,,2.5,25.0,False,True,manual,True,,,False,False,low_liquidity
006040,동원산업,2026-07-17,2025,consumer,11.0,10.5,8.2,55.0,False,False,9.5,0.85,5.5,5.0,18.0,2.2,180000000000.0,165000000000.0,unqualified,True,manual,False,False,False,False,33350.0,1472096313650.0,31840,1061864000.0,2220536178.75,50500.0,30050.0,-0.1776,40.11,,3.5,40.0,True,True,manual,True,,,False,True,
036530,SNT홀딩스,2026-07-17,2025,holding,7.8,7.2,5.8,40.0,False,True,8.5,0.48,5.8,4.5,12.0,0.75,65000000000.0,60000000000.0,unqualified,True,manual,False,False,False,False,52000.0,847802072000.0,22703,1180556000.0,746850158.75,88200.0,46450.0,-0.0226,50.24,,3.8,45.0,True,True,manual,True,,,False,False,low_liquidity
002380,KCC,2026-07-17,2025,materials,6.5,5.8,4.2,85.0,False,False,14.0,0.72,9.5,2.0,15.0,1.1,350000000000.0,280000000000.0,unqualified,True,manual,False,False,False,False,420000.0,3609016320000.0,17251,7245420000.0,17705561412.5,680000.0,317000.0,0.05,61.99,,2.0,22.0,False,True,manual,True,,,False,True,
271560,오리온,2026-07-17,2025,consumer,15.0,14.2,12.5,38.0,False,False,13.5,1.6,7.8,3.5,18.0,2.2,420000000000.0,400000000000.0,unqualified,True,manual,False,False,False,False,128400.0,5075496379200.0,102380,13145592000.0,16248875150.0,146000.0,99300.0,0.2454,31.23,,2.4,32.0,True,True,manual,True,,,False,True,
030190,NICE평가정보,2026-07-17,2025,data_service,16.5,15.8,18.0,25.0,False,False,15.0,2.1,10.0,2.2,20.0,2.5,85000000000.0,78000000000.0,unqualified,True,manual,False,False,False,False,13940.0,821226686380.0,63392,883684480.0,1214415333.25,18200.0,13060.0,-0.1526,37.51,,1.8,20.0,False,True,manual,True,,,False,True,
453340,현대그린푸드,2026-07-17,2025,consumer,8.0,7.5,5.5,62.0,False,False,11.5,0.95,6.0,3.8,18.0,2.2,45000000000.0,42000000000.0,unqualified,True,manual,False,False,False,False,18430.0,598451348410.0,27538,507525340.0,949066191.5,19300.0,14830.0,0.2205,28.96,,2.2,28.0,False,True,manual,True,,,False,False,low_liquidity
000660,SK하이닉스,2026-07-17,2025,semiconductor,22.0,18.0,28.0,48.0,False,False,14.5,2.4,6.8,3.0,18.0,2.0,18000000000000.0,12000000000000.0,unqualified,True,manual,False,False,False,False,1842000.0,1312797756330000.0,5524726,10176545292000.0,15625766685941.5,2919000.0,245000.0,1.4758,79.92,,1.2,15.0,True,True,manual,False,,,False,True,
005930,삼성전자,2026-07-17,2026,반도체/IT하드웨어,10.0,10.0,,80.0,False,False,46.93,4.84,,,,,,,unqualified,stub,liquid_stub,False,False,False,False,255000.0,1490801045040000.0,26605948,6784516740000.0,10184981315892.5,362500.0,60400.0,0.8345,64.24,,,,,,,False,semiconductor,manual,False,True,
