ticker,name,sector,gate_pass,gate_fail_reason,score_q,score_v,score_sr,score_r,score_m,composite_raw,composite_score,incumbent_bonus,grade,role_suggested,tier,satellite_track,is_held,data_gate,sleeve_weight_suggested,portfolio_weight_suggested,as_of,rank,reason
000660,SK하이닉스,semiconductor,True,,92.42,53.73,25.0,35.93,85.81,67.27,67.27,0.0,B,defensive_consumer,Satellite,True,False,GREEN,3.55,1.1,2026-06-17,1,Q92 V54 SR25 tier=Satellite
006040,동원산업,consumer,True,,60.39,82.42,66.25,17.12,2.61,64.14,67.14,3.0,B,dividend_value,Core,False,True,GREEN,4.0,1.24,2026-06-17,2,Q60 V82 SR66 tier=Core
036530,SNT홀딩스,holding,True,,53.85,84.25,72.5,11.58,8.2,63.41,66.41,3.0,B,shareholder_return,Core,False,True,GREEN,4.0,1.24,2026-06-17,3,Q54 V84 SR72 tier=Core
271560,오리온,consumer,True,,75.47,57.82,48.5,52.3,59.82,61.12,64.12,3.0,B,quality_defensive,Core,False,True,GREEN,4.0,1.24,2026-06-17,4,Q75 V58 SR48 tier=Core
005830,DB손해보험,insurance,True,,56.79,74.96,60.0,21.51,31.68,59.52,62.52,3.0,B,dividend_value,Core,False,True,GREEN,4.0,1.24,2026-06-17,5,Q57 V75 SR60 tier=Core
069960,현대백화점,unknown,True,,50.83,71.74,50.0,36.65,85.66,62.18,62.18,0.0,B,value_defensive,Satellite,True,False,YELLOW,3.32,1.03,2026-06-23,6,Q51 V72 SR50 tier=Satellite
005440,현대지에프홀딩스,holding,True,,57.27,76.48,52.5,25.68,44.55,58.68,61.68,3.0,B,value_rerating,Core,False,True,GREEN,4.0,1.24,2026-06-17,7,Q57 V76 SR52 tier=Core
024110,기업은행,unknown,True,,50.83,89.88,50.0,42.4,20.12,61.49,61.49,0.0,B,value_defensive,Core,False,False,YELLOW,4.0,1.24,2026-06-23,8,Q51 V90 SR50 tier=Core
021240,코웨이,consumer,True,,86.54,57.67,30.25,33.06,30.8,58.46,61.46,3.0,B,quality_defensive,Core,False,True,GREEN,4.0,1.24,2026-06-17,9,Q87 V58 SR30 tier=Core
055550,신한지주,unknown,True,,50.83,79.7,50.0,47.67,71.43,61.31,61.31,0.0,B,value_defensive,Satellite,True,False,YELLOW,3.28,1.02,2026-06-23,10,Q51 V80 SR50 tier=Satellite
138930,BNK금융지주,unknown,True,,50.83,89.01,50.0,41.52,35.18,61.15,61.15,0.0,B,value_defensive,Core,False,False,YELLOW,4.0,1.24,2026-06-23,11,Q51 V89 SR50 tier=Core
034730,SK,unknown,True,,50.83,59.48,50.0,19.0,94.78,60.24,60.24,0.0,B,momentum_satellite,Satellite,True,False,YELLOW,3.23,1.0,2026-06-23,12,Q51 V59 SR50 tier=Satellite
