ticker,name,sector,gate_pass,gate_fail_reason,score_q,score_v,score_sr,score_r,score_m,composite_raw,composite_score,incumbent_bonus,grade,role_suggested,tier,satellite_track,is_held,data_gate,sleeve_weight_suggested,portfolio_weight_suggested,as_of
005830,DB손해보험,insurance,True,,56.79,74.96,60.0,21.51,31.68,59.52,62.52,3.0,B,dividend_value,Core,False,True,GREEN,4.0,1.24,2026-06-17
021240,코웨이,consumer,True,,86.54,57.67,30.25,33.06,30.8,58.46,61.46,3.0,B,quality_defensive,Core,False,True,GREEN,4.0,1.24,2026-06-17
005440,현대지에프홀딩스,holding,True,,57.27,76.48,52.5,25.68,44.55,58.68,61.68,3.0,B,value_rerating,Core,False,True,GREEN,4.0,1.24,2026-06-17
192400,쿠쿠홀딩스,holding,False,low_liquidity,60.69,70.51,33.75,31.97,4.84,54.03,57.03,3.0,Reject,defensive_consumer,—,False,True,RED,4.0,1.24,2026-06-17
006040,동원산업,consumer,True,,60.39,82.42,66.25,17.12,2.61,64.14,67.14,3.0,B,dividend_value,Core,False,True,GREEN,4.0,1.24,2026-06-17
036530,SNT홀딩스,holding,True,,53.85,84.25,72.5,11.58,8.2,63.41,66.41,3.0,B,shareholder_return,Core,False,True,GREEN,4.0,1.24,2026-06-17
002380,KCC,materials,True,,32.49,59.05,26.0,23.9,28.91,37.98,40.98,3.0,Reject,value_quality,—,False,True,GREEN,4.0,1.24,2026-06-17
271560,오리온,consumer,True,,75.47,57.82,48.5,52.3,59.82,61.12,64.12,3.0,B,quality_defensive,Core,False,True,GREEN,4.0,1.24,2026-06-17
030190,NICE평가정보,data_service,True,,84.28,46.35,22.5,26.23,14.27,51.65,54.65,3.0,C,defensive_consumer,—,False,True,GREEN,4.0,1.24,2026-06-17
453340,현대그린푸드,consumer,False,low_liquidity,42.36,73.98,31.5,49.41,48.14,49.84,52.84,3.0,Reject,value_quality,—,False,True,RED,4.0,1.24,2026-06-17
000660,SK하이닉스,semiconductor,True,,92.42,53.73,25.0,35.93,85.81,67.27,67.27,0.0,B,defensive_consumer,Satellite,True,False,GREEN,3.55,1.1,2026-06-17
005930,삼성전자,unknown,True,,50.83,36.98,50.0,34.84,80.36,53.72,53.72,0.0,C,value_quality,—,True,False,YELLOW,4.0,1.24,2026-06-23
