ticker,name,as_of,fiscal_year,sector,roe,roe_3y_avg,opm,debt_ratio,is_financial,is_holding,per,pbr,ev_ebitda,fcf_yield,sector_per_median,sector_pbr_median,net_income_y1,net_income_y2,audit_opinion,verified,source,is_etf,is_spac,is_managed,is_halted
005830,DB손해보험,2026-06-17,2025,insurance,12.5,11.8,9.6,0.0,True,False,8.2,0.92,,,10.5,1.05,5200000000000.0,4800000000000.0,unqualified,True,manual,False,False,False,False
021240,코웨이,2026-06-17,2025,consumer,18.2,17.5,14.1,45.3,False,False,12.4,1.8,8.2,4.1,18.0,2.2,850000000000.0,780000000000.0,unqualified,True,manual,False,False,False,False
005440,현대지에프홀딩스,2026-06-17,2025,holding,8.5,8.0,6.2,35.0,False,True,9.8,0.55,6.5,3.2,12.0,0.75,120000000000.0,95000000000.0,unqualified,True,manual,False,False,False,False
192400,쿠쿠홀딩스,2026-06-17,2025,holding,9.2,8.8,7.5,28.0,False,True,11.0,0.62,7.0,2.8,12.0,0.75,95000000000.0,88000000000.0,unqualified,True,manual,False,False,False,False
006040,동원산업,2026-06-17,2025,consumer,11.0,10.5,8.2,55.0,False,False,9.5,0.85,5.5,5.0,18.0,2.2,180000000000.0,165000000000.0,unqualified,True,manual,False,False,False,False
036530,SNT홀딩스,2026-06-17,2025,holding,7.8,7.2,5.8,40.0,False,True,8.5,0.48,5.8,4.5,12.0,0.75,65000000000.0,60000000000.0,unqualified,True,manual,False,False,False,False
002380,KCC,2026-06-17,2025,materials,6.5,5.8,4.2,85.0,False,False,14.0,0.72,9.5,2.0,15.0,1.1,350000000000.0,280000000000.0,unqualified,True,manual,False,False,False,False
271560,오리온,2026-06-17,2025,consumer,15.0,14.2,12.5,38.0,False,False,13.5,1.6,7.8,3.5,18.0,2.2,420000000000.0,400000000000.0,unqualified,True,manual,False,False,False,False
030190,NICE평가정보,2026-06-17,2025,data_service,16.5,15.8,18.0,25.0,False,False,15.0,2.1,10.0,2.2,20.0,2.5,85000000000.0,78000000000.0,unqualified,True,manual,False,False,False,False
453340,현대그린푸드,2026-06-17,2025,consumer,8.0,7.5,5.5,62.0,False,False,11.5,0.95,6.0,3.8,18.0,2.2,45000000000.0,42000000000.0,unqualified,True,manual,False,False,False,False
000660,SK하이닉스,2026-06-17,2025,semiconductor,22.0,18.0,28.0,48.0,False,False,14.5,2.4,6.8,3.0,18.0,2.0,18000000000000.0,12000000000000.0,unqualified,True,manual,False,False,False,False
005930,삼성전자,2026-06-23,2026,unknown,10.0,10.0,,80.0,False,False,46.93,4.84,,,,,,,unqualified,stub,liquid_stub,False,False,False,False
