ticker,as_of,close,market_cap,volume,trading_value,avg_trading_value_20d,high_52w,low_52w,return_6m,volatility_1y,beta_kospi200
000100,2026-07-19,70800.0,5639050150800.0,245221,17361646800.0,22519192585.0,135800.0,66400.0,-0.3751,43.48,
000150,2026-07-19,1202000.0,19464989670000.0,43531,52324262000.0,129109159100.0,2203000.0,508000.0,0.6091,82.82,
000250,2026-07-19,184100.0,4318520595200.0,95712,17620579200.0,27915564775.0,1184000.0,154200.0,-0.2531,101.74,
000270,2026-07-19,149700.0,58444825800600.0,967288,144803013600.0,168434452432.05,206000.0,97800.0,0.1239,52.7,
000500,2026-07-19,196700.0,3254030720500.0,100776,19822639200.0,59270410502.5,313406.0,29840.0,2.8899,115.58,
000660,2026-07-19,1842000.0,1312797756330000.0,5524726,10176545292000.0,15625766685941.5,2919000.0,245000.0,1.4758,79.92,
000720,2026-07-19,99000.0,11024220735000.0,380664,37685736000.0,76458664152.5,188700.0,54400.0,0.3061,79.22,
000810,2026-07-19,701000.0,31297878573000.0,145348,101888948000.0,91689646706.6,730000.0,417500.0,0.4915,58.87,
000880,2026-07-19,93200.0,6571338050800.0,145461,13556965200.0,19577867080.0,150900.0,76600.0,0.0197,67.49,
000990,2026-07-19,109600.0,4768102844800.0,343123,37606280800.0,105817795037.5,220500.0,43000.0,0.5243,80.51,
001040,2026-07-19,135700.0,3959318628600.0,103393,14030430100.0,18227149115.0,232000.0,134500.0,-0.2427,56.77,
001440,2026-07-19,27700.0,5428994909200.0,1355021,37534081700.0,93376054381.25,72300.0,14840.0,0.0633,79.25,
002380,2026-07-19,420000.0,3609016320000.0,17251,7245420000.0,17705561412.5,680000.0,317000.0,0.05,61.99,
003230,2026-07-19,1069000.0,8052793035000.0,25263,27006147000.0,59826800350.0,1630000.0,1022000.0,-0.1136,49.74,
003490,2026-07-19,26500.0,9757847516500.0,2445402,64803153000.0,92263694096.25,30000.0,21000.0,0.1991,44.5,
003550,2026-07-19,98800.0,14937769995200.0,244041,24111250800.0,46172294205.0,165800.0,71300.0,0.2304,60.02,
003670,2026-07-19,147600.0,13128462072000.0,304206,44900805600.0,55372795810.0,296000.0,123200.0,-0.1609,70.09,
004020,2026-07-19,26550.0,3542985591750.0,423668,11248385400.0,17373711906.25,46500.0,26000.0,-0.0908,59.44,
004170,2026-07-19,589000.0,5563211609000.0,33462,19709118000.0,59869101383.55,776000.0,161200.0,1.261,60.62,
004800,2026-07-19,143100.0,2395552241700.0,26572,3802453200.0,5208987600.0,276000.0,70600.0,0.1876,76.38,
005380,2026-07-19,425000.0,87022050550000.0,714483,303655275000.0,541239890527.45,750000.0,206500.0,0.1612,64.34,
005385,2026-07-19,194600.0,4542150816000.0,127747,24859566200.0,23760733355.0,321500.0,156600.0,-0.1502,51.2,
005387,2026-07-19,198000.0,6922858140000.0,171384,33934032000.0,36165587489.8,323500.0,160100.0,-0.1646,51.65,
005440,2026-07-19,13950.0,2174864998950.0,100448,1401249600.0,4473027209.0,18750.0,7290.0,0.7591,60.04,
005490,2026-07-19,311500.0,24683735660500.0,287682,89612943000.0,119096995225.0,535000.0,263000.0,0.0247,49.77,
005830,2026-07-19,163000.0,10676556887000.0,219854,35836202000.0,35414514670.1,205500.0,119300.0,0.3188,43.47,
005930,2026-07-19,255000.0,1490801045040000.0,26605948,6784516740000.0,10184981315892.5,362500.0,60400.0,0.8345,64.24,
005935,2026-07-19,172000.0,138007846916000.0,4446893,764865596000.0,944115900529.35,235000.0,50500.0,0.6699,60.92,
005940,2026-07-19,31000.0,11445389255000.0,437936,13576016000.0,24566531298.75,39200.0,18660.0,0.4868,56.89,
006040,2026-07-19,33350.0,1472096313650.0,31840,1061864000.0,2220536178.75,50500.0,30050.0,-0.1776,40.11,
006260,2026-07-19,288000.0,8985600000000.0,149766,43132608000.0,67217169175.0,553000.0,150800.0,0.4187,70.15,
006400,2026-07-19,434500.0,35014412785000.0,484964,210716858000.0,271977326350.0,712000.0,170100.0,0.6243,68.92,
006800,2026-07-19,40050.0,22410653544000.0,1385242,55478942100.0,118276637013.75,83800.0,17713.0,0.4843,81.98,
007660,2026-07-19,92000.0,6753648148000.0,581306,53480152000.0,130178918380.0,161400.0,52100.0,-0.159,84.3,
009150,2026-07-19,1277000.0,95383849792000.0,610491,779597007000.0,1976464201787.55,2270000.0,134500.0,3.8008,80.18,
009540,2026-07-19,354000.0,25053683064000.0,250109,88538586000.0,83228563324.9,479500.0,315000.0,-0.2081,52.18,
009830,2026-07-19,27600.0,4744233993600.0,3695935,102007806000.0,70283259807.5,55179.0,24618.0,0.1211,84.63,
010060,2026-07-19,194300.0,3627626077600.0,94779,18415559700.0,43875450065.0,388000.0,79700.0,0.9105,99.02,
010120,2026-07-19,190000.0,28500000000000.0,664593,126272670000.0,259044899805.0,318500.0,51900.0,0.9958,78.65,
010130,2026-07-19,1029000.0,21478285101000.0,12960,13335840000.0,21669407000.0,2115000.0,759000.0,-0.0989,74.49,
010140,2026-07-19,22300.0,19624000000000.0,3737922,83355660600.0,103350857320.0,34400.0,16210.0,-0.2216,56.78,
010950,2026-07-19,144900.0,16313246560800.0,513882,74461501800.0,57409346130.0,144900.0,57800.0,0.725,60.27,
011070,2026-07-19,668000.0,15809627476000.0,186849,124815132000.0,310266579800.0,1530000.0,148000.0,1.5545,81.0,
011200,2026-07-19,20050.0,18911921298500.0,1405959,28189477950.0,26537005664.5,25950.0,18310.0,0.0025,39.48,
011790,2026-07-19,85200.0,4225774989600.0,179133,15262131600.0,36063308875.0,174100.0,82714.0,-0.1131,77.05,
012330,2026-07-19,482000.0,43733105006000.0,270493,130377626000.0,223587641537.5,768000.0,283500.0,0.2065,65.99,
012450,2026-07-19,943000.0,48624287143000.0,142859,134716037000.0,244773100905.25,1537000.0,805000.0,-0.2232,60.14,
012510,2026-07-19,120000.0,3494865960000.0,0,0.0,631674795.0,120300.0,64200.0,0.3043,44.11,
0126Z0,2026-07-19,396000.0,9853687404000.0,32924,13037904000.0,26940526962.5,743000.0,335500.0,-0.4244,85.86,
015760,2026-07-19,34050.0,21858876821850.0,1847121,62894470050.0,76577494595.0,67900.0,33900.0,-0.3107,54.81,
016360,2026-07-19,107700.0,9617610000000.0,295251,31798532700.0,59247443245.0,149500.0,66900.0,0.4005,61.06,
017670,2026-07-19,89700.0,19266667754100.0,1366866,122607880200.0,90617144732.5,125200.0,52100.0,0.6925,45.73,
018260,2026-07-19,199300.0,15421395540000.0,235615,46958069500.0,75597736575.0,362000.0,145900.0,0.154,68.72,
018880,2026-07-19,3490.0,3581656306480.0,3593633,12541779170.0,27044051192.55,5730.0,2800.0,0.2398,75.29,
021240,2026-07-19,96700.0,6843210094200.0,301055,29112018500.0,20974006413.1,113200.0,70900.0,0.2148,39.32,
022100,2026-07-19,18630.0,2832407001270.0,320502,5970952260.0,8779705586.75,42850.0,18630.0,-0.3113,74.24,
023530,2026-07-19,140800.0,3983056704000.0,165550,23309440000.0,24379284465.0,203500.0,64100.0,1.0555,53.71,
