ticker,period_end,report_date,usable_from_date,roe,roa,operating_margin,gross_profitability,debt_ratio,interest_coverage,per,pbr,pcr,psr,ev_ebitda,dividend_yield,fcf,operating_cash_flow,net_income,earnings_yoy
999004,2025-12-31,2026-02-10,2026-02-10,-5.0,-2.0,-8.0,0.05,250,0.5,0,0.3,0,0.2,0,0,-10,-5,-20,-0.30
365660,2026-12-31,2026-07-08,2026-07-08,0.0,,,,,,,69.27,,,,,,,,
0039P0,2026-12-31,2026-07-08,2026-07-08,29.92,,,,,,13.07,3.91,,,,,,,616.0,
0165X0,2026-12-31,2026-07-08,2026-07-08,,,,,,,,,,,,,,,,
475040,2026-12-31,2026-07-08,2026-07-08,0.0,,,,,,,8.5,,,,,,,,
153890,2026-12-31,2026-07-08,2026-07-08,0.0,,,,,,,15.11,,,,,,,,
0164H0,2026-12-31,2026-07-08,2026-07-08,,,,,,,,,,,,,,,,
095570,2026-12-31,2026-06-17,2026-06-17,6.22,,,,,,6.89,0.43,,,,7.54,,,635.0,
006840,2026-12-31,2026-06-17,2026-06-17,0.0,,,,,,,0.21,,,,,,,,
027410,2026-12-31,2026-06-17,2026-06-17,3.31,,,,,,6.88,0.23,,,,3.06,,,618.0,
282330,2026-12-31,2026-06-17,2026-06-17,14.87,,,,,,10.62,1.58,,,,3.42,,,11303.0,
138930,2026-12-31,2026-06-17,2026-06-17,7.22,,,,,,7.23,0.52,,,,4.05,,,2512.0,
001460,2026-12-31,2026-06-17,2026-06-17,3.44,,,,,,15.63,0.54,,,,1.08,,,2367.0,
001465,2026-12-31,2026-06-17,2026-06-17,,,,,,,,,,,,1.63,,,,
001040,2026-12-31,2026-06-17,2026-06-17,2.75,,,,,,42.85,1.18,,,,1.8,,,4271.0,
079160,2026-12-31,2026-06-17,2026-06-17,0.0,,,,,,,1.37,,,,,,,,
00104K,2026-12-31,2026-06-17,2026-06-17,,,,,,,,,,,,1.99,,,,
000120,2026-12-31,2026-06-17,2026-06-17,5.46,,,,,,7.46,0.41,,,,0.94,,,11347.0,
011150,2026-12-31,2026-06-17,2026-06-17,3.19,,,,,,27.05,0.86,,,,,,,78.0,
011155,2026-12-31,2026-06-17,2026-06-17,,,,,,,,,,,,,,,,
001045,2026-12-31,2026-06-17,2026-06-17,,,,,,,,,,,,4.4,,,,
097950,2026-12-31,2026-06-17,2026-06-17,0.0,,,,,,,0.45,,,,3.04,,,,
097955,2026-12-31,2026-06-17,2026-06-17,,,,,,,,,,,,4.89,,,,
