date,ticker,name,foreign_net_value,institution_net_value,retail_net_value,program_net_value,foreign_5d_sum,institution_5d_sum,foreign_20d_sum,institution_20d_sum,foreign_5d_mcap_pct,institution_5d_mcap_pct,foreign_20d_mcap_pct,institution_20d_mcap_pct,flow_score,flow_signal,source,staleness_days
2026-07-02,000080,하이트진로,,,,,,,,,,,,,0.0,STALE,template,999.0
2026-07-02,000100,유한양행,,,,,,,,,,,,,0.0,STALE,template,999.0
2026-07-08,000120,CJ대한통운,0.0,0.0,0.0,0.0,-932520150.0,-126439400.0,-9711117900.0,-5742988500.0,-0.05479607929478271,-0.007429741210830404,-0.5706377352697245,-0.3374653654776524,20.0,DISTRIBUTION,cache_stale,2
2026-07-02,000150,두산,,,,,,,,,,,,,0.0,STALE,template,999.0
2026-07-08,000210,DL,0.0,0.0,0.0,0.0,2163653350.0,-46345350.0,17443100250.0,-14311885725.0,0.23020738326385842,-0.004931031003625262,1.8559028712070051,-1.522749363858873,80.0,ACCUMULATION,cache_stale,2
2026-07-09,000270,기아,0.0,0.0,0.0,0.0,73972304700.0,144420904350.0,296535554300.0,30394272200.0,0.12581137530451647,0.24562966738273773,0.5043447823408175,0.05169428210152592,80.0,ACCUMULATION,cache_stale,1
2026-07-03,000370,한화손해보험,-90692235.0,-11339400.0,101388735.0,0.0,-3381218985.0,953124005.0,5964307965.0,4327987900.0,-0.4985187689069128,0.14052630358936255,0.8793631756132751,0.6381080933603048,20.0,DISTRIBUTION,cache_stale,1.0
2026-07-02,000400,롯데손해보험,,,,,,,,,,,,,0.0,STALE,template,999.0
2026-07-03,000430,대원강업,-32830751.0,-5319896.0,-117808738.0,-6988525.0,-783428274.0,-202465147.0,-2854886555.0,2367116.0,-0.3207091345996398,-0.08288240830194858,-1.168694348698215,0.0009690175208776813,20.0,DISTRIBUTION,cache_stale,2.0
2026-07-02,000500,가온전선,,,,,,,,,,,,,0.0,STALE,template,999.0
