ticker,name,market,krx_sector,internal_sector,sector_group,source,asof,is_manual,notes
000080,하이트진로,KOSPI,,unknown,unknown,unknown,,false,
000100,유한양행,KOSPI,,unknown,unknown,unknown,,false,
000120,CJ대한통운,KOSPI,,unknown,unknown,unknown,,false,
000150,두산,KOSPI,,unknown,unknown,unknown,,false,
000210,DL,KOSPI,,unknown,unknown,unknown,,false,
000270,기아,KOSPI,운수장비,자동차,auto,manual,2026-07-02,true,alpha_shortlist
000370,한화손해보험,KOSPI,,financial,financial,name_inference,,false,
000400,롯데손해보험,KOSPI,,financial,financial,name_inference,,false,
000500,가온전선,KOSPI,,unknown,unknown,unknown,,false,
000640,동아쏘시오홀딩스,KOSPI,,holding,holding,name_inference,,false,
000660,SK하이닉스,KOSPI,전기전자,반도체,semiconductor,manual,2026-07-02,true,satellite
000720,현대건설,KOSPI,,unknown,unknown,unknown,,false,
000810,삼성화재,KOSPI,,unknown,unknown,unknown,,false,
000880,한화,KOSPI,,unknown,unknown,unknown,,false,
000990,DB하이텍,KOSPI,,unknown,unknown,unknown,,false,
001040,CJ,KOSPI,,unknown,unknown,unknown,,false,
001060,JW중외제약,KOSPI,,unknown,unknown,unknown,,false,
001120,LX인터내셔널,KOSPI,,unknown,unknown,unknown,,false,
001430,세아베스틸지주,KOSPI,,holding,holding,name_inference,,false,
001440,대한전선,KOSPI,,unknown,unknown,unknown,,false,
001450,현대해상,KOSPI,보험,손해보험,insurance,manual,2026-07-02,true,top10_confirmed
001510,SK증권,KOSPI,,financial,financial,name_inference,,false,
001680,대상,KOSPI,,unknown,unknown,unknown,,false,
001720,신영증권,KOSPI,,financial,financial,name_inference,,false,
001740,SK네트웍스,KOSPI,,unknown,unknown,unknown,,false,
001800,오리온홀딩스,KOSPI,,financial,financial,name_inference,,false,
001820,삼화콘덴서,KOSPI,,unknown,unknown,unknown,,false,
002020,코오롱,KOSPI,,unknown,unknown,unknown,,false,
002380,KCC,KOSPI,화학,건자재/화학,materials,manual,2026-07-02,true,alpha_candidate
002790,아모레퍼시픽홀딩스,KOSPI,,holding,holding,name_inference,,false,
002990,금호건설,KOSPI,,unknown,unknown,unknown,,false,
003160,디아이,KOSPI,,unknown,unknown,unknown,,false,
003230,삼양식품,KOSPI,,consumer,consumer,name_inference,,false,
003470,유안타증권,KOSPI,,financial,financial,name_inference,,false,
003490,대한항공,KOSPI,운수창고,항공/운송,industrial_transport,manual,2026-07-02,true,alpha_candidate
003530,한화투자증권,KOSPI,,financial,financial,name_inference,,false,
